	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
0	113.870770,23.108626	石龙汇星商业中心	东莞市	东莞市	B0FFGXJRQA	[]	沃尔玛	广东省	[]	购物服务;超级市场;沃尔玛	060402	113.870770	23.108626	沃尔玛
1	125.117426,46.594662	经六街与纬五路路交叉口	萨尔图区	大庆市	B01CB00VGC	[]	沃尔玛	黑龙江省	0459-8992899;0459-8992888	购物服务;超级市场;沃尔玛	060402	125.117426	46.594662	沃尔玛
2	113.037875,23.709799	先锋东路3号	清城区	清远市	B0FFI2Q4GI	[]	沃尔玛	广东省	[]	购物服务;超级市场;沃尔玛	060402	113.037875	23.709799	沃尔玛
3	101.553303,25.043112	团结路169号	楚雄市	楚雄彝族自治州	B0FFHFEEVI	[]	沃尔玛	云南省	[]	购物服务;超级市场;沃尔玛	060402	101.553303	25.043112	沃尔玛
4	106.496457,29.582894	松石大道与柏树堡立交交叉口北150米	渝北区	重庆市	B0FFI67CWG	[]	沃尔玛	重庆市	[]	购物服务;超级市场;沃尔玛	060402	106.496457	29.582894	沃尔玛
5	113.548860,22.231595	迎宾南路2095号珠海摩尔广场B1	香洲区	珠海市	B0FFH9G8P9	[]	沃尔玛	广东省	[]	购物服务;超级市场;沃尔玛	060402	113.548860	22.231595	沃尔玛
6	113.919793,22.539908	南新路3229号(深南大道与南新路交界处鸿州文鼎家园1-2层)	南山区	深圳市	B02F3061C7	[]	沃尔玛社区店(深圳南新店)	广东省	0755-26460707	购物服务;超级市场;沃尔玛	060402	113.919793	22.539908	沃尔玛
7	112.556114,37.818683	长风街705号和信时尚商城B1层	小店区	太原市	B015F0IEZL	[]	沃尔玛超市	山西省	0351-7526066	购物服务;超级市场;沃尔玛	060402	112.556114	37.818683	沃尔玛
8	116.281781,39.900458	西翠路5号今日商业中心B1层	海淀区	北京市	B000A8VXHX	[]	沃尔玛(今日家园店)	北京市	010-88288400;010-88283655	购物服务;超级市场;沃尔玛	060402	116.281781	39.900458	沃尔玛
9	116.338669,39.975273	知春路甲48号盈都大厦D座4号楼B1-2层	海淀区	北京市	B000A805B2	[]	沃尔玛(北京知春路分店)	北京市	010-58733628;010-58733666	购物服务;超级市场;沃尔玛	060402	116.338669	39.975273	沃尔玛
10	118.786692,32.038146	洪武路88号悦荟广场2-3层	秦淮区	南京市	B00190AYYM	[]	沃尔玛(南京新街口店)	江苏省	025-84782888;025-84782873	购物服务;超级市场;沃尔玛	060402	118.786692	32.038146	沃尔玛
11	104.045247,30.702818	交大路183号凯德广场·金牛2-3层	金牛区	成都市	B001C0A18Z	[]	沃尔玛(成都交大路店)	四川省	028-87606677	购物服务;超级市场;沃尔玛	060402	104.045247	30.702818	沃尔玛
12	117.017853,36.665133	泉城路339号万达广场2-3层	历下区	济南市	B021301C23	[]	沃尔玛(济南泉城路店)	山东省	0531-86137575;0531-86137577;0531-86137566	购物服务;超级市场;沃尔玛	060402	117.017853	36.665133	沃尔玛
13	117.672517,24.510306	南昌路49号凯德广场·漳州2-3层	芗城区	漳州市	B025402QQ4	[]	沃尔玛(漳州丹霞路店)	福建省	0596-2995877;0596-2995777	购物服务;超级市场;沃尔玛	060402	117.672517	24.510306	沃尔玛
14	116.471759,39.909369	建国路93号院万达广场A座新世界百货B1层	朝阳区	北京市	B000A810JM	[]	沃尔玛(北京建国路店)	北京市	010-59603566;010-59603516	购物服务;超级市场;沃尔玛	060402	116.471759	39.909369	沃尔玛
15	112.995087,28.154105	韶山中路421号长沙深国投商业中心2-3层	雨花区	长沙市	B02DB0698Y	[]	沃尔玛(长沙雨花亭店)	湖南省	0731-85304036	购物服务;超级市场;沃尔玛	060402	112.995087	28.154105	沃尔玛
16	112.135948,32.038986	长虹路13号民发商业广场2-3层	樊城区	襄阳市	B02C60250V	[]	沃尔玛(襄阳长虹路店)	湖北省	0710-3225650	购物服务;超级市场;沃尔玛	060402	112.135948	32.038986	沃尔玛
17	108.322850,22.814213	青云街18号悦荟广场A座2-3层	兴宁区	南宁市	B03030076B	[]	沃尔玛(南宁朝阳路分店)	广西壮族自治区	0771-2639088	购物服务;超级市场;沃尔玛	060402	108.322850	22.814213	沃尔玛
18	120.298174,30.414928	临平街道藕花洲大街303号莱蒙商业中心2层	余杭区	杭州市	B023B0AB64	[]	沃尔玛(杭州临平店)	浙江省	0571-89268228;0571-89268281	购物服务;超级市场;沃尔玛	060402	120.298174	30.414928	沃尔玛
19	123.397625,41.792777	中华路9号太原南街万达购物广场	和平区	沈阳市	B00180J1LJ	[]	沃尔玛(沈阳太原街店)	辽宁省	024-31505699;024-31505698	购物服务;超级市场;沃尔玛	060402	123.397625	41.792777	沃尔玛
20	116.280576,39.953847	板井路69号世纪城远大园5区	海淀区	北京市	B000A8W13T	[]	沃尔玛(世纪城店)	北京市	010-88594166	购物服务;超级市场;沃尔玛	060402	116.280576	39.953847	沃尔玛
21	102.697324,25.043071	大观商业城北面E1-E2座1-3层	五华区	昆明市	B036706ZBL	[]	沃尔玛(昆明大观店)	云南省	0871-65386208;0871-65386840	购物服务;超级市场;沃尔玛	060402	102.697324	25.043071	沃尔玛
22	116.444579,39.922958	朝阳门外大街12号昆泰商城B1层	朝阳区	北京市	B000A8VXG4	[]	沃尔玛(朝阳店)	北京市	010-85612050	购物服务;超级市场;沃尔玛	060402	116.444579	39.922958	沃尔玛
23	114.137339,22.611692	布吉镇大芬村龙岗大道2502号龙吉大厦1-3层	龙岗区	深圳市	B02F37SPPV	[]	沃尔玛(布吉大芬店)	广东省	0755-84739200	购物服务;超级市场;沃尔玛	060402	114.137339	22.611692	沃尔玛
24	114.093674,22.544668	燕南路88号中泰燕南名庭2-3层	福田区	深圳市	B02F37VSH8	[]	沃尔玛(深圳燕南路店)	广东省	0755-88392150;0755-88392130;0755-88392100	购物服务;超级市场;沃尔玛	060402	114.093674	22.544668	沃尔玛
